FECHA PRECIP  EVAP   TMAX   TMIN
04/10/1991  0     Nulo    19     11 
05/10/1991  0     Nulo    18     10 
06/10/1991  0     Nulo    18     9 
07/10/1991  0     Nulo    17     9 
08/10/1991  0     Nulo    15     9 
09/10/1991  0     Nulo    19     8 
10/10/1991  0     Nulo    17     11 
11/10/1991  0     Nulo    16     9 
12/10/1991  0     Nulo    18     8 
13/10/1991  0     Nulo    16     10 
14/10/1991  0     Nulo    16     9 
15/10/1991  0     Nulo    14     8 
16/10/1991  0     Nulo    16     6 
17/10/1991  0     Nulo    16     8 
18/10/1991  0     Nulo    16     8 
19/10/1991  0.3   Nulo    16     8 
20/10/1991  0.1   Nulo    15     8 
21/10/1991  0     Nulo    14     7 
22/10/1991  0     Nulo    15     7 
23/10/1991  0     Nulo    11     6 
24/10/1991  0     Nulo    13     3 
25/10/1991  0     Nulo    13     5 
26/10/1991  0.1   Nulo    13     6 
27/10/1991  0     Nulo    19     4 
28/10/1991  0     Nulo    16     11 
29/10/1991  0     Nulo    18     4 
30/10/1991  0     Nulo    14     5 
31/10/1991  0     Nulo    11     6 
01/11/1991  0     Nulo    9      3 
02/11/1991  0     Nulo    8      1 
03/11/1991  0     Nulo    8      0 
04/11/1991  0     Nulo    8      0 
05/11/1991  0     Nulo    9      0 
06/11/1991  0     Nulo    10     1 
07/11/1991  0     Nulo    10     2 
08/11/1991  0.2   Nulo    10     2 
09/11/1991  1.8   Nulo    14     2 
10/11/1991  1.6   Nulo    14     6 
11/11/1991  0.7   Nulo    16     7 
12/11/1991  0.5   Nulo    16     9 
13/11/1991  0.2   Nulo    16     9 
14/11/1991  0.2   Nulo    17     9 
15/11/1991  0.1   Nulo    17     10 
16/11/1991  0     Nulo    14     10 
17/11/1991  0     Nulo    11     5 
18/11/1991  0     Nulo    12     3 
19/11/1991  0     Nulo    8      4 
20/11/1991  0     Nulo    6     -4 
21/11/1991  0     Nulo    6     -3 
22/11/1991  0     Nulo    7     -3 
23/11/1991  0     Nulo    7     -1 
24/11/1991  0     Nulo    8     -2 
25/11/1991  0     Nulo    6      0 
26/11/1991  0     Nulo    6     -3 
27/11/1991  0     Nulo    9     -3 
28/11/1991  0     Nulo    15     0 
29/11/1991  0     Nulo    13     1.2 
30/11/1991  0     Nulo   Nulo    5 
01/12/1991  0     Nulo    5      1 
02/12/1991  0     Nulo    2     -7 
03/12/1991  0     Nulo    4     -7 
04/12/1991  0     Nulo    13    -5 
05/12/1991  0     Nulo    9      5 
06/12/1991  0     Nulo    8     -3 
07/12/1991  0.5   Nulo    10     0 
08/12/1991  0     Nulo    13     2 
09/12/1991  4.7   Nulo    13     5 
10/12/1991  0.3   Nulo    20     5 
11/12/1991  0     Nulo    15     10 
12/12/1991  0     Nulo    10     6 
13/12/1991  0     Nulo    6      0 
14/12/1991  0     Nulo    9     -3 
15/12/1991  0     Nulo    12     3 
16/12/1991  0     Nulo    12     4 
17/12/1991  3     Nulo    9      4 
18/12/1991  6     Nulo    9      3 
19/12/1991  4     Nulo    8      3 
20/12/1991  2     Nulo    9      4 
21/12/1991  0     Nulo    6      3 
22/12/1991  0     Nulo    5      2 
23/12/1991  0     Nulo    5     -2 
24/12/1991  0     Nulo    4     -2 
25/12/1991  0     Nulo    6     -3 
26/12/1991  0     Nulo    6     -2 
